Gigeren;1119,6;153;3300;AR;4;1075;755;255;100011;;;;
LK-Punkt;1101,0;50;1500;AR;4;1075;756;254;100021;;;;
Schnebelhorn;1292,7;118;3600;SG/ZH;3;1093;716;242;100031;;;;
Warten;1203,0;63;1100;ZH;4;1093;715;243;100041;;;;
Roten;1148,0;100;1400;SG/ZH;4;1093;716;245;100051;;;;
Hörnli;1133,0;178;3550;ZH;3;1093;713;247;100061;;;;
Horn;1110,8;70;750;SG;4;1093;719;244;100071;;;;
Fridlisberg;1071,9;47;900;SG;4;1093;721;242;100081;;;;
LK-Punkt;1066,3;110,0;850;SG;5;1093;716;246;100091;;;;
LK-Punkt;1065;70;850;SG;5;1093;719;245;100101;;;;
Baschlis Gipfel;1064,4;102;2600;ZH;4;1093;710;244;100111;;;;
Regelsberg;1035,4;55;1000;SG;4;1093;714;248;100121;;;;
Schlosshöchi;1033,3;38;300;SG;4;1093;719;245;100131;;;;
LK-Punkt;1023;64;750;ZH;5;1093;713;243;100141;;;;
Hochhamm;1274,9;214;3700;AR;4;1094;736;242;100151;;;;
Hinterberg;1176;110;1350;AR;4;1094;738;242;100161;;;;
Wikethöchi;1169,6;308;5400;SG;4;1094;731;244;100171;;;;
LK-Punkt;1100;215;2400;AR;5;1094;736;245;100181;;;;
Ruine Neutoggenburg;1084;241;1150;SG;4;1094;726;243;100191;;;;
LK-Punkt;1083,7;79;1000;AR;5;1094;735;245;100201;;;;
LK-Punkt;1077;105;1350;AR;5;1094;733;246;100211;;;;
LK-Punkt;1074;100;1050;AR;5;1094;733;246;100221;;;;
Hochwacht;1073,4;48;1350;AR;4;1094;733;245;100231;;;;
Rütiberg;1011;93;1600;AR;4;1094;735;247;100241;;;;
Fänerenspitz;1506,2;219;2000;AI;4;1095;754;242;100251;;;;
Hundwiler Höhi;1305,7;405;4700;AI/AR;3;1095;743;245;100261;;;;
Gäbris;1251,2;367;6700;AR;3;1095;753;249;100271;;;;
Sommersberg;1177;100;1650;AR;6;1095;754;248;100281;;;;
Hirschberg / Brandegg;1174;222;2450;AI/AR;3;1095;754;246;100291;;;;
LK-Punkt;1145;88;1450;AR;5;1095;751;250;100301;;;;
LK-Punkt;1136;133;1900;AI;5;1095;757;252;100311;;;;
Wesen;1131;204;2450;AI;4;1095;750;247;100321;;;;
